day,susceptible,exposed,infected,latent,treated,recovered,diseased,inc,hh_inc,
0,341300,0,1500,0,0,0,0,0,0,
1,341090,210,1482,0,14,0,4,0,0,
2,340878,422,1472,0,23,0,5,0,0,
3,340629,671,1458,0,37,0,5,0,0,
4,340385,910,1441,4,55,0,5,1,0,
5,340151,1143,1422,5,70,0,9,0,0,
6,339916,1376,1411,7,78,0,12,0,0,
7,339717,1573,1403,9,85,0,13,0,0,
8,339521,1768,1387,10,98,0,16,0,0,
9,339294,1986,1371,18,113,0,18,1,0,
10,339102,2174,1358,22,126,0,18,0,0,
11,338881,2390,1347,26,136,0,20,1,0,
12,338665,2601,1324,32,154,0,24,0,0,
13,338477,2780,1313,41,163,0,26,0,0,
14,338261,2988,1299,49,175,0,28,0,0,
15,338075,3170,1287,51,188,0,29,2,0,
16,337874,3362,1270,60,204,0,30,0,0,
17,337667,3561,1253,68,219,0,32,0,0,
18,337472,3751,1242,73,228,0,34,0,0,
19,337259,3949,1230,88,240,0,34,0,0,
20,337090,4109,1225,95,247,0,34,2,0,
21,336913,4277,1208,104,262,0,36,0,0,
22,336726,4450,1195,118,274,0,37,0,0,
23,336535,4615,1187,140,282,0,41,4,0,
24,336373,4765,1173,152,294,0,43,0,0,
25,336185,4945,1157,161,309,0,43,0,0,
26,336017,5103,1144,171,319,0,46,0,0,
27,335860,5242,1130,186,335,0,47,3,0,
28,335703,5385,1119,198,348,0,47,3,0,
29,335552,5520,1103,214,362,0,49,0,0,
30,335366,5688,1090,232,372,0,52,0,0,
31,335182,5855,1077,247,385,0,54,2,0,
32,335008,6020,1057,255,404,0,56,1,0,
33,334864,6153,1051,266,410,0,56,0,0,
34,334698,6302,1036,281,426,0,57,2,0,
35,334562,6415,1028,302,436,0,57,2,0,
36,334418,6535,1015,325,449,0,58,1,1,
37,334274,6656,1008,347,455,0,60,1,0,
38,334114,6801,1002,359,462,0,62,3,0,
39,333961,6943,996,368,468,0,64,2,0,
40,333828,7054,990,389,473,0,66,1,0,
41,333687,7170,979,414,484,0,66,0,0,
42,333534,7302,971,432,495,0,66,3,0,
43,333402,7420,961,445,505,0,67,1,0,
44,333256,7547,950,462,517,0,68,2,0,
45,333140,7639,941,486,525,0,69,0,0,
46,332987,7779,935,496,533,0,70,2,0,
47,332857,7888,932,513,540,0,70,4,1,
48,332721,7996,921,539,553,0,70,1,0,
49,332611,8086,913,558,562,0,70,1,0,
50,332489,8184,907,581,569,0,70,1,0,
51,332369,8282,902,601,576,0,70,2,0,
52,332232,8400,894,618,586,0,70,1,0,
53,332105,8510,885,635,594,0,71,0,0,
54,331963,8627,881,658,600,0,71,2,0,
55,331848,8713,878,683,606,0,72,3,0,
56,331742,8799,866,702,617,0,74,1,0,
57,331624,8887,858,729,627,0,75,3,0,
58,331474,9005,849,760,637,0,75,1,0,
59,331330,9139,836,769,650,0,76,0,0,
60,331219,9230,828,789,658,0,76,0,0,
61,331083,9331,821,822,667,0,76,1,0,
62,330980,9411,810,844,678,0,77,1,0,
63,330864,9507,799,864,687,0,79,0,0,
64,330742,9610,795,881,693,0,79,2,0,
65,330626,9701,788,905,700,0,80,2,0,
66,330482,9823,783,927,704,0,81,0,0,
67,330372,9910,776,948,712,0,82,1,0,
68,330258,9990,762,982,723,0,85,1,0,
69,330140,10080,754,1006,734,0,86,3,0,
70,330025,10170,750,1031,737,0,87,0,0,
71,329914,10249,746,1061,743,0,87,3,0,
72,329809,10331,737,1082,754,0,87,2,0,
73,329683,10429,734,1107,758,0,89,3,0,
74,329564,10508,731,1145,763,0,89,2,0,
75,329484,10562,729,1168,767,0,90,3,0,
76,329367,10653,721,1193,776,0,90,1,0,
77,329256,10740,713,1216,785,0,90,1,1,
78,329152,10813,708,1244,793,0,90,2,0,
79,329045,10893,696,1268,807,0,91,2,0,
80,328921,10988,693,1294,812,0,92,3,0,
81,328811,11069,692,1323,813,0,92,0,0,
82,328715,11133,686,1354,820,0,92,0,0,
83,328606,11216,676,1378,832,0,92,2,0,
84,328501,11291,667,1407,842,0,92,2,0,
85,328404,11358,659,1437,849,0,93,0,0,
86,328309,11418,653,1469,858,0,93,2,0,
87,328203,11507,651,1485,861,0,93,1,0,
88,328114,11565,644,1512,872,0,93,4,0,
89,328019,11629,639,1542,878,0,93,0,0,
90,327923,11686,634,1578,886,0,93,3,0,
91,327825,11763,628,1598,893,0,93,1,0,
92,327736,11824,625,1625,897,0,93,1,0,
93,327622,11904,621,1656,904,0,93,2,0,
94,327527,11970,617,1683,909,0,94,2,0,
95,327433,12041,606,1705,920,0,95,1,0,
96,327326,12119,597,1733,930,0,95,1,0,
97,327254,12163,591,1758,937,0,97,3,0,
98,327166,12218,589,1789,940,0,98,2,0,
99,327080,12262,583,1829,948,0,98,1,0,
